Ro	Time	E_SvFs	E
0.66	2.81	0.728501984072	0.728501984072
0.68	2.81	0.722890000215	0.722890000215
0.7	2.81	0.707437626979	0.707437626979
0.72	2.81	0.696653783768	0.696653783768
0.74	2.81	0.683784319614	0.683784319614
0.76	2.81	0.671164246113	0.671164246113
0.78	2.81	0.65788482973	0.65788482973
0.8	2.81	0.644347583279	0.644347583279
0.82	2.81	0.630435310575	0.630435310575
0.84	2.81	0.616340091277	0.616340091277
0.86	2.81	0.602029533472	0.602029533472
0.88	2.81	0.587716296193	0.587716296193
0.9	2.81	0.573481979894	0.573481979894
0.92	2.81	0.558743801975	0.558743801975
0.94	2.81	0.542716196488	0.542716196488
0.96	2.81	0.525306858067	0.525306858067
0.98	2.81	0.507714973609	0.507714973609
1.0	2.81	0.489907939826	0.489907939826
0.0	2.811	0.768069704684	0.768069704684
0.02	2.811	0.777030000642	0.777030000642
0.04	2.811	0.774667609132	0.774667609132
0.06	2.811	0.778456064836	0.778456064836
0.08	2.811	0.781085944541	0.781085944541
0.1	2.811	0.784323968354	0.784323968354
0.12	2.811	0.787211130566	0.787211130566
0.14	2.811	0.790650846881	0.790650846881
0.16	2.811	0.792853476378	0.792853476378
0.18	2.811	0.801070000644	0.801070000644
0.2	2.811	0.797634066366	0.797634066366
0.22	2.811	0.80015466611	0.80015466611
0.24	2.811	0.80134835638	0.80134835638
0.26	2.811	0.802868650689	0.802868650689
0.28	2.811	0.803936230058	0.803936230058
0.3	2.811	0.804695201516	0.804695201516
0.32	2.811	0.805039100729	0.805039100729
0.34	2.811	0.804962423351	0.804962423351
0.36	2.811	0.804434373095	0.804434373095
0.38	2.811	0.803435290689	0.803435290689
0.4	2.811	0.801943683171	0.801943683171
0.42	2.811	0.799939438841	0.799939438841
0.44	2.811	0.797403214492	0.797403214492
0.46	2.811	0.794316315225	0.794316315225
0.48	2.811	0.790662345464	0.790662345464
0.5	2.811	0.786424887607	0.786424887607
0.52	2.811	0.781594645328	0.781594645328
0.54	2.811	0.776155454921	0.776155454921
0.56	2.811	0.7701203585	0.7701203585
